Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
НЛБ Кеш Депозит,2025-09-25,24.9.2025,134.1258,134.1258,134.1258
ВЕГА ТЕХНОЛОГИЈА,2025-09-25,24.9.2025,185.0981,185.0981,185.0981
КБ Инвест - Балансиран,2025-09-25,24.9.2025,246.8586,246.8586,246.8586
ВФП Кеш Депозит,2025-09-25,24.9.2025,122.2369,122.2369,122.2369
НЛБ БРИК,2025-09-25,24.9.2025,169.3601,169.3601,169.3601
ВЕГА ФИНАНСИИ,2025-09-25,24.9.2025,170.9477,170.9477,170.9477
НЛБ Америка,2025-09-25,24.9.2025,181.826,181.826,181.826
ВЕГА КЕШ,2025-09-25,24.9.2025,109.6982,109.6982,109.6982
ВФП Етикс Акции,2025-09-25,24.9.2025,99.9213,99.9213,99.9213
КБ Инвест - МБИ 10,2025-09-25,24.9.2025,439.7781,439.7781,439.7781
Граве Флекс Бонд Евро,2025-09-25,24.9.2025,116.8724,116.8724,116.8724
Иново Статус Солар,2025-09-25,24.9.2025,63.3765,63.3765,63.3765
НЛБ Обврзници,2025-09-25,24.9.2025,103.8521,103.8521,103.8521
ВФП Етикс Акции,2025-09-24,23.9.2025,100.3048,100.3048,100.3048
ВФП Дивиденда Акции,2025-09-24,23.9.2025,158.9363,158.9363,158.9363
КБ Инвест - Акции,2025-09-24,23.9.2025,137.682,137.682,137.682
НЛБ Америка,2025-09-24,23.9.2025,182.5349,182.5349,182.5349
ВЕГА СВЕТ,2025-09-24,23.9.2025,109.9934,109.9934,109.9934
НЛБ Обврзници,2025-09-24,23.9.2025,103.9034,103.9034,103.9034
Иново Статус Солар,2025-09-24,23.9.2025,61.6988,61.6988,61.6988
Граве Флекс Бонд Евро,2025-09-24,23.9.2025,116.8215,116.8215,116.8215
ВЕГА КЕШ,2025-09-24,23.9.2025,109.6895,109.6895,109.6895
Граве Глобал,2025-09-24,23.9.2025,173.3125,173.3125,173.3125
НЛБ БРИК,2025-09-24,23.9.2025,167.9981,167.9981,167.9981
ВЕГА ТЕХНОЛОГИЈА,2025-09-24,23.9.2025,185.8702,185.8702,185.8702
ВЕГА ФИНАНСИИ,2025-09-24,23.9.2025,171.5536,171.5536,171.5536
НЛБ Кеш Депозит,2025-09-24,23.9.2025,134.115,134.115,134.115
НЛБ Топ Брендови,2025-09-24,23.9.2025,186.4237,186.4237,186.4237
Иново Статус Балансиран,2025-09-24,23.9.2025,45.4123,45.4123,45.4123
ВФП Кеш Депозит,2025-09-24,23.9.2025,122.2271,122.2271,122.2271
КБ Инвест - Обврзници,2025-09-24,23.9.2025,157.3369,157.3369,157.3369
КБ Инвест - МБИ 10,2025-09-24,23.9.2025,441.3424,441.3424,441.3424
КБ Инвест Паричен,2025-09-24,23.9.2025,143.0453,143.0453,143.0453
КБ Инвест - Балансиран,2025-09-24,23.9.2025,246.9929,246.9929,246.9929
ВФП БОНД,2025-09-24,23.9.2025,129.5058,129.5058,129.5058
ВФП Премиум Акции,2025-09-24,23.9.2025,191.4626,191.4626,191.4626
КБ Инвест - Златен фонд,2025-09-24,23.9.2025,183.2209,183.2209,183.2209
КБ Инвест - Балансиран,2025-09-23,22.9.2025,247.1189,247.1189,247.1189
НЛБ Топ Брендови,2025-09-23,22.9.2025,186.8625,186.8625,186.8625
НЛБ Америка,2025-09-23,22.9.2025,183.8701,183.8701,183.8701
КБ Инвест Паричен,2025-09-23,22.9.2025,142.9927,142.9927,142.9927
КБ Инвест - Обврзници,2025-09-23,22.9.2025,157.2832,157.2832,157.2832
ВФП Премиум Акции,2025-09-23,22.9.2025,191.5765,191.5765,191.5765
КБ Инвест - МБИ 10,2025-09-23,22.9.2025,441.6432,441.6432,441.6432
ВФП БОНД,2025-09-23,22.9.2025,129.5771,129.5771,129.5771
ВЕГА ФИНАНСИИ,2025-09-23,22.9.2025,171.4117,171.4117,171.4117
ВЕГА СВЕТ,2025-09-23,22.9.2025,110.4313,110.4313,110.4313
КБ Инвест - Златен фонд,2025-09-23,22.9.2025,183.0559,183.0559,183.0559
ВЕГА ТЕХНОЛОГИЈА,2025-09-23,22.9.2025,187.6406,187.6406,187.6406
ВФП Кеш Депозит,2025-09-23,22.9.2025,122.1911,122.1911,122.1911
Иново Статус Балансиран,2025-09-23,22.9.2025,45.3964,45.3964,45.3964
ВФП Етикс Акции,2025-09-23,22.9.2025,100.9249,100.9249,100.9249
НЛБ Обврзници,2025-09-23,22.9.2025,103.8633,103.8633,103.8633
ВЕГА КЕШ,2025-09-23,22.9.2025,109.6834,109.6834,109.6834
НЛБ БРИК,2025-09-23,22.9.2025,169.1511,169.1511,169.1511
ВФП Дивиденда Акции,2025-09-23,22.9.2025,159.6006,159.6006,159.6006
Граве Глобал,2025-09-23,22.9.2025,173.0926,173.0926,173.0926
Граве Флекс Бонд Евро,2025-09-23,22.9.2025,116.695,116.695,116.695
Иново Статус Солар,2025-09-23,22.9.2025,63.5448,63.5448,63.5448
КБ Инвест - Акции,2025-09-23,22.9.2025,137.7257,137.7257,137.7257
НЛБ Кеш Депозит,2025-09-23,22.9.2025,134.0999,134.0999,134.0999
НЛБ Америка,2025-09-22,21.9.2025,183.6588,183.6588,183.6588
Иново Статус Балансиран,2025-09-22,21.9.2025,45.3866,45.3866,45.3866
КБ Инвест - Акции,2025-09-22,21.9.2025,137.5825,137.5825,137.5825
ВФП БОНД,2025-09-22,19.9.2025,129.3453,129.3453,129.3453
ВФП Премиум Акции,2025-09-22,19.9.2025,190.9643,190.9643,190.9643
НЛБ Топ Брендови,2025-09-22,19.9.2025,185.7365,185.7365,185.7365
НЛБ Кеш Депозит,2025-09-22,19.9.2025,134.054,134.054,134.054
Граве Глобал,2025-09-22,21.9.2025,172.7259,172.7259,172.7259
ВФП Кеш Депозит,2025-09-22,19.9.2025,122.109,122.109,122.109
ВЕГА СВЕТ,2025-09-22,21.9.2025,109.4374,109.4374,109.4374
КБ Инвест - Златен фонд,2025-09-22,21.9.2025,177.6358,177.6358,177.6358
ВФП Дивиденда Акции,2025-09-22,21.9.2025,159.0077,159.0077,159.0077
ВЕГА ФИНАНСИИ,2025-09-22,21.9.2025,171.7444,171.7444,171.7444
КБ Инвест - МБИ 10,2025-09-22,19.9.2025,441.1954,441.1954,441.1954
Граве Флекс Бонд Евро,2025-09-22,21.9.2025,116.6857,116.6857,116.6857
ВЕГА ТЕХНОЛОГИЈА,2025-09-22,19.9.2025,183.8852,183.8852,183.8852
ВЕГА КЕШ,2025-09-22,19.9.2025,109.6482,109.6482,109.6482
Иново Статус Солар,2025-09-22,19.9.2025,61.9441,61.9441,61.9441
НЛБ Обврзници,2025-09-22,19.9.2025,103.7685,103.7685,103.7685
НЛБ БРИК,2025-09-22,21.9.2025,170.2146,170.2146,170.2146
КБ Инвест Паричен,2025-09-22,19.9.2025,142.8829,142.8829,142.8829
КБ Инвест - Обврзници,2025-09-22,19.9.2025,157.0868,157.0868,157.0868
КБ Инвест - Балансиран,2025-09-22,19.9.2025,246.6493,246.6493,246.6493
ВФП Етикс Акции,2025-09-22,19.9.2025,99.9387,99.9387,99.9387
ВФП Премиум Акции,2025-09-19,18.9.2025,190.2329,190.2329,190.2329
НЛБ Топ Брендови,2025-09-19,18.9.2025,184.9931,184.9931,184.9931
Иново Статус Балансиран,2025-09-19,18.9.2025,45.2884,45.2884,45.2884
НЛБ Обврзници,2025-09-19,18.9.2025,103.8823,103.8823,103.8823
КБ Инвест - Балансиран,2025-09-19,18.9.2025,246.255,246.255,246.255
ВФП Етикс Акции,2025-09-19,18.9.2025,99.4305,99.4305,99.4305
ВФП Кеш Депозит,2025-09-19,18.9.2025,122.0628,122.0628,122.0628
ВФП БОНД,2025-09-19,18.9.2025,129.5657,129.5657,129.5657
КБ Инвест - Обврзници,2025-09-19,18.9.2025,157.1664,157.1664,157.1664
НЛБ Америка,2025-09-19,18.9.2025,181.1506,181.1506,181.1506
Граве Флекс Бонд Евро,2025-09-19,18.9.2025,116.4796,116.4796,116.4796
НЛБ Кеш Депозит,2025-09-19,18.9.2025,134.035,134.035,134.035
ВФП Дивиденда Акции,2025-09-19,18.9.2025,157.5976,157.5976,157.5976
КБ Инвест Паричен,2025-09-19,18.9.2025,142.8183,142.8183,142.8183
Граве Глобал,2025-09-19,18.9.2025,172.1677,172.1677,172.1677
КБ Инвест - МБИ 10,2025-09-19,18.9.2025,440.9089,440.9089,440.9089
НЛБ БРИК,2025-09-19,18.9.2025,168.8014,168.8014,168.8014
КБ Инвест - Златен фонд,2025-09-19,18.9.2025,169.8218,169.8218,169.8218
ВЕГА СВЕТ,2025-09-19,18.9.2025,108.5122,108.5122,108.5122
ВЕГА ФИНАНСИИ,2025-09-19,18.9.2025,169.7733,169.7733,169.7733
ВЕГА ТЕХНОЛОГИЈА,2025-09-19,18.9.2025,182.7442,182.7442,182.7442
Иново Статус Солар,2025-09-19,18.9.2025,61.456,61.456,61.456
ВЕГА КЕШ,2025-09-19,18.9.2025,109.6232,109.6232,109.6232
КБ Инвест - Акции,2025-09-19,18.9.2025,136.6539,136.6539,136.6539
ВЕГА КЕШ,2025-09-18,17.9.2025,109.6081,109.6081,109.6081
Иново Статус Балансиран,2025-09-18,17.9.2025,45.3351,45.3351,45.3351
Граве Флекс Бонд Евро,2025-09-18,17.9.2025,116.4402,116.4402,116.4402
Иново Статус Солар,2025-09-18,17.9.2025,61.0898,61.0898,61.0898
ВЕГА ТЕХНОЛОГИЈА,2025-09-18,17.9.2025,179.8054,179.8054,179.8054
ВФП Етикс Акции,2025-09-18,17.9.2025,98.3251,98.3251,98.3251
ВЕГА СВЕТ,2025-09-18,17.9.2025,107.792,107.792,107.792
КБ Инвест - Акции,2025-09-18,17.9.2025,135.9828,135.9828,135.9828
ВФП Дивиденда Акции,2025-09-18,17.9.2025,156.4607,156.4607,156.4607
НЛБ Америка,2025-09-18,17.9.2025,180.8244,180.8244,180.8244
ВЕГА ФИНАНСИИ,2025-09-18,17.9.2025,168.9156,168.9156,168.9156
НЛБ Топ Брендови,2025-09-18,17.9.2025,183.7008,183.7008,183.7008
ВФП БОНД,2025-09-18,17.9.2025,129.5765,129.5765,129.5765
НЛБ Кеш Депозит,2025-09-18,17.9.2025,134.0228,134.0228,134.0228
КБ Инвест - Балансиран,2025-09-18,17.9.2025,245.8603,245.8603,245.8603
ВФП Премиум Акции,2025-09-18,17.9.2025,188.4008,188.4008,188.4008
КБ Инвест Паричен,2025-09-18,17.9.2025,142.7813,142.7813,142.7813
КБ Инвест - Обврзници,2025-09-18,17.9.2025,157.1793,157.1793,157.1793
НЛБ БРИК,2025-09-18,17.9.2025,170.9141,170.9141,170.9141
Граве Глобал,2025-09-18,17.9.2025,170.2831,170.2831,170.2831
КБ Инвест - МБИ 10,2025-09-18,17.9.2025,441.6256,441.6256,441.6256
КБ Инвест - Златен фонд,2025-09-18,17.9.2025,169.9774,169.9774,169.9774
ВФП Кеш Депозит,2025-09-18,17.9.2025,122.0364,122.0364,122.0364
НЛБ БРИК,2025-09-17,16.9.2025,167.9442,167.9442,167.9442
ВФП Етикс Акции,2025-09-17,16.9.2025,98.2263,98.2263,98.2263
КБ Инвест Паричен,2025-09-17,16.9.2025,142.7716,142.7716,142.7716
НЛБ Топ Брендови,2025-09-17,16.9.2025,184.0942,184.0942,184.0942
НЛБ Кеш Депозит,2025-09-17,16.9.2025,134.0152,134.0152,134.0152
Иново Статус Балансиран,2025-09-17,16.9.2025,45.301,45.301,45.301
КБ Инвест - Обврзници,2025-09-17,16.9.2025,157.1567,157.1567,157.1567
КБ Инвест - Балансиран,2025-09-17,16.9.2025,245.7696,245.7696,245.7696
ВФП Премиум Акции,2025-09-17,16.9.2025,188.2457,188.2457,188.2457
НЛБ Америка,2025-09-17,16.9.2025,181.4981,181.4981,181.4981
КБ Инвест - МБИ 10,2025-09-17,16.9.2025,440.9102,440.9102,440.9102
ВФП Кеш Депозит,2025-09-17,16.9.2025,122.0282,122.0282,122.0282
КБ Инвест - Златен фонд,2025-09-17,16.9.2025,171.2143,171.2143,171.2143
ВФП БОНД,2025-09-17,16.9.2025,129.5519,129.5519,129.5519
ВЕГА ФИНАНСИИ,2025-09-17,16.9.2025,168.596,168.596,168.596
Граве Флекс Бонд Евро,2025-09-17,16.9.2025,116.4001,116.4001,116.4001
Иново Статус Солар,2025-09-17,16.9.2025,60.8435,60.8435,60.8435
ВЕГА КЕШ,2025-09-17,16.9.2025,109.605,109.605,109.605
ВЕГА ТЕХНОЛОГИЈА,2025-09-17,16.9.2025,181.008,181.008,181.008
ВЕГА СВЕТ,2025-09-17,16.9.2025,107.5704,107.5704,107.5704
НЛБ Обврзници,2025-09-17,16.9.2025,103.8114,103.8114,103.8114
КБ Инвест - Акции,2025-09-17,16.9.2025,135.9563,135.9563,135.9563
ВФП Дивиденда Акции,2025-09-17,16.9.2025,156.6505,156.6505,156.6505
Граве Глобал,2025-09-17,16.9.2025,170.5007,170.5007,170.5007
ВФП Дивиденда Акции,2025-09-16,15.9.2025,157.1971,157.1971,157.1971
КБ Инвест - Златен фонд,2025-09-16,15.9.2025,174.1776,174.1776,174.1776
КБ Инвест - Акции,2025-09-16,15.9.2025,136.737,136.737,136.737
ВФП БОНД,2025-09-16,15.9.2025,129.5761,129.5761,129.5761
ВЕГА СВЕТ,2025-09-16,15.9.2025,107.4275,107.4275,107.4275
КБ Инвест - МБИ 10,2025-09-16,15.9.2025,440.6156,440.6156,440.6156
ВЕГА ТЕХНОЛОГИЈА,2025-09-16,15.9.2025,181.3712,181.3712,181.3712
ВЕГА КЕШ,2025-09-16,15.9.2025,109.5963,109.5963,109.5963
Граве Глобал,2025-09-16,15.9.2025,171.8167,171.8167,171.8167
ВЕГА ФИНАНСИИ,2025-09-16,15.9.2025,170.749,170.749,170.749
ВФП Кеш Депозит,2025-09-16,15.9.2025,122.0201,122.0201,122.0201
НЛБ Топ Брендови,2025-09-16,15.9.2025,184.7829,184.7829,184.7829
ВФП Премиум Акции,2025-09-16,15.9.2025,190.0054,190.0054,190.0054
КБ Инвест - Обврзници,2025-09-16,15.9.2025,157.153,157.153,157.153
Граве Флекс Бонд Евро,2025-09-16,15.9.2025,116.3886,116.3886,116.3886
НЛБ БРИК,2025-09-16,15.9.2025,167.8352,167.8352,167.8352
Иново Статус Солар,2025-09-16,15.9.2025,60.8481,60.8481,60.8481
НЛБ Обврзници,2025-09-16,15.9.2025,103.7891,103.7891,103.7891
КБ Инвест - Балансиран,2025-09-16,15.9.2025,246.3166,246.3166,246.3166
НЛБ Америка,2025-09-16,15.9.2025,182.2156,182.2156,182.2156
КБ Инвест Паричен,2025-09-16,15.9.2025,142.762,142.762,142.762
НЛБ Кеш Депозит,2025-09-16,15.9.2025,134.0078,134.0078,134.0078
Иново Статус Балансиран,2025-09-16,15.9.2025,45.3241,45.3241,45.3241
ВФП Етикс Акции,2025-09-16,15.9.2025,98.4415,98.4415,98.4415
НЛБ БРИК,2025-09-15,12.9.2025,167.818,167.818,167.818
Иново Статус Солар,2025-09-15,12.9.2025,59.3852,59.3852,59.3852
Иново Статус Балансиран,2025-09-15,12.9.2025,45.3659,45.3659,45.3659
ВФП БОНД,2025-09-15,14.9.2025,129.4383,129.4383,129.4383
НЛБ Обврзници,2025-09-15,12.9.2025,103.7301,103.7301,103.7301
Граве Глобал,2025-09-15,14.9.2025,171.7195,171.7195,171.7195
ВЕГА ФИНАНСИИ,2025-09-15,14.9.2025,169.6469,169.6469,169.6469
КБ Инвест - Акции,2025-09-15,14.9.2025,136.2047,136.2047,136.2047
КБ Инвест - МБИ 10,2025-09-15,14.9.2025,441.6323,441.6323,441.6323
ВФП Премиум Акции,2025-09-15,12.9.2025,189.3893,189.3893,189.3893
ВФП Етикс Акции,2025-09-15,14.9.2025,97.8783,97.8783,97.8783
Граве Флекс Бонд Евро,2025-09-15,12.9.2025,116.3349,116.3349,116.3349
НЛБ Топ Брендови,2025-09-15,12.9.2025,184.1536,184.1536,184.1536
ВФП Дивиденда Акции,2025-09-15,14.9.2025,156.1506,156.1506,156.1506
ВЕГА СВЕТ,2025-09-15,12.9.2025,106.2937,106.2937,106.2937
ВФП Кеш Депозит,2025-09-15,14.9.2025,122.0133,122.0133,122.0133
КБ Инвест - Златен фонд,2025-09-15,12.9.2025,174.0322,174.0322,174.0322
ВЕГА ТЕХНОЛОГИЈА,2025-09-15,12.9.2025,179.1632,179.1632,179.1632
ВЕГА КЕШ,2025-09-15,13.9.2025,109.5793,109.5793,109.5793
КБ Инвест - Балансиран,2025-09-15,12.9.2025,246.0501,246.0501,246.0501
КБ Инвест - Обврзници,2025-09-15,12.9.2025,157.0902,157.0902,157.0902
КБ Инвест Паричен,2025-09-15,12.9.2025,142.7376,142.7376,142.7376
НЛБ Кеш Депозит,2025-09-15,12.9.2025,133.9857,133.9857,133.9857
НЛБ Америка,2025-09-15,12.9.2025,181.8533,181.8533,181.8533
Иново Статус Балансиран,2025-09-12,11.9.2025,45.3502,45.3502,45.3502
КБ Инвест - Балансиран,2025-09-12,11.9.2025,246.3664,246.3664,246.3664
Граве Глобал,2025-09-12,11.9.2025,171.5872,171.5872,171.5872
НЛБ Америка,2025-09-12,11.9.2025,181.9124,181.9124,181.9124
ВФП Етикс Акции,2025-09-12,11.9.2025,97.9989,97.9989,97.9989
КБ Инвест - Обврзници,2025-09-12,11.9.2025,157.1605,157.1605,157.1605
Граве Флекс Бонд Евро,2025-09-12,11.9.2025,116.391,116.391,116.391
НЛБ БРИК,2025-09-12,11.9.2025,166.2587,166.2587,166.2587
ВФП Дивиденда Акции,2025-09-12,11.9.2025,156.4914,156.4914,156.4914
НЛБ Обврзници,2025-09-12,11.9.2025,103.789,103.789,103.789
Иново Статус Солар,2025-09-12,11.9.2025,59.0939,59.0939,59.0939
КБ Инвест Паричен,2025-09-12,11.9.2025,142.7278,142.7278,142.7278
ВФП БОНД,2025-09-12,11.9.2025,129.547,129.547,129.547
ВЕГА КЕШ,2025-09-12,11.9.2025,109.5643,109.5643,109.5643
КБ Инвест - Акции,2025-09-12,11.9.2025,137.0054,137.0054,137.0054
КБ Инвест - Златен фонд,2025-09-12,11.9.2025,173.5849,173.5849,173.5849
ВЕГА СВЕТ,2025-09-12,11.9.2025,105.7528,105.7528,105.7528
ВЕГА ФИНАНСИИ,2025-09-12,11.9.2025,169.8123,169.8123,169.8123
КБ Инвест - МБИ 10,2025-09-12,11.9.2025,441.7592,441.7592,441.7592
НЛБ Кеш Депозит,2025-09-12,11.9.2025,133.9782,133.9782,133.9782
НЛБ Топ Брендови,2025-09-12,11.9.2025,183.8222,183.8222,183.8222
ВФП Премиум Акции,2025-09-12,11.9.2025,189.631,189.631,189.631
ВФП Кеш Депозит,2025-09-12,11.9.2025,121.9921,121.9921,121.9921
ВЕГА ТЕХНОЛОГИЈА,2025-09-12,11.9.2025,178.9031,178.9031,178.9031
ВЕГА ФИНАНСИИ,2025-09-11,10.9.2025,167.606,167.606,167.606
ВЕГА КЕШ,2025-09-11,10.9.2025,109.5546,109.5546,109.5546
Иново Статус Солар,2025-09-11,10.9.2025,59.0346,59.0346,59.0346
Граве Флекс Бонд Евро,2025-09-11,10.9.2025,116.3477,116.3477,116.3477
ВФП Дивиденда Акции,2025-09-11,10.9.2025,154.947,154.947,154.947
ВФП БОНД,2025-09-11,10.9.2025,129.2653,129.2653,129.2653
ВФП Етикс Акции,2025-09-11,10.9.2025,96.6511,96.6511,96.6511
ВЕГА ТЕХНОЛОГИЈА,2025-09-11,10.9.2025,178.9403,178.9403,178.9403
КБ Инвест - Обврзници,2025-09-11,10.9.2025,156.9475,156.9475,156.9475
ВФП Премиум Акции,2025-09-11,10.9.2025,188.2301,188.2301,188.2301
КБ Инвест - МБИ 10,2025-09-11,10.9.2025,441.03,441.03,441.03
НЛБ Обврзници,2025-09-11,10.9.2025,103.671,103.671,103.671
Граве Глобал,2025-09-11,10.9.2025,170.5008,170.5008,170.5008
НЛБ БРИК,2025-09-11,10.9.2025,165.3442,165.3442,165.3442
КБ Инвест Паричен,2025-09-11,10.9.2025,142.7181,142.7181,142.7181
ВФП Кеш Депозит,2025-09-11,10.9.2025,121.984,121.984,121.984
КБ Инвест - Златен фонд,2025-09-11,10.9.2025,170.7698,170.7698,170.7698
НЛБ Америка,2025-09-11,10.9.2025,180.5807,180.5807,180.5807
НЛБ Топ Брендови,2025-09-11,10.9.2025,183.0655,183.0655,183.0655
ВЕГА СВЕТ,2025-09-11,10.9.2025,104.0528,104.0528,104.0528
НЛБ Кеш Депозит,2025-09-11,10.9.2025,133.9705,133.9705,133.9705
КБ Инвест - Балансиран,2025-09-11,10.9.2025,245.5219,245.5219,245.5219
Иново Статус Балансиран,2025-09-11,10.9.2025,45.3356,45.3356,45.3356
КБ Инвест - Акции,2025-09-11,10.9.2025,135.4906,135.4906,135.4906
