Назив на отворениот инвестиционен фонд,Датум на пресметка на документот за удел,Датум на вреднување,Дневна последна продажна цена на документот за удел,Дневна просечна продажна цена на документот за удел,Дневна откупна цена на документот за удел
Иново Статус Солар,2025-10-10,09.10.2025,69.1588,69.1588,69.1588
ВЕГА КЕШ,2025-10-10,09.10.2025,109.8196,109.8196,109.8196
ВЕГА ТЕХНОЛОГИЈА,2025-10-10,09.10.2025,199.1732,199.1732,199.1732
КБ Инвест - Акции,2025-10-10,09.10.2025,140.0798,140.0798,140.0798
НЛБ Америка,2025-10-10,09.10.2025,186.3667,186.3667,186.3667
Иново Статус Балансиран,2025-10-10,09.10.2025,45.1417,45.1417,45.1417
ВФП БОНД,2025-10-10,09.10.2025,129.9565,129.9565,129.9565
НЛБ Обврзници,2025-10-10,09.10.2025,104.1429,104.1429,104.1429
ВЕГА СВЕТ,2025-10-10,09.10.2025,116.9685,116.9685,116.9685
ВЕГА ФИНАНСИИ,2025-10-10,09.10.2025,169.3391,169.3391,169.3391
НЛБ БРИК,2025-10-10,09.10.2025,171.4816,171.4816,171.4816
КБ Инвест - Балансиран,2025-10-10,09.10.2025,247.0809,247.0809,247.0809
КБ Инвест - Обврзници,2025-10-10,09.10.2025,157.6597,157.6597,157.6597
КБ Инвест Паричен,2025-10-10,09.10.2025,143.1977,143.1977,143.1977
НЛБ Кеш Депозит,2025-10-10,09.10.2025,134.2378,134.2378,134.2378
КБ Инвест - МБИ 10,2025-10-10,09.10.2025,435.7129,435.7129,435.7129
НЛБ Топ Брендови,2025-10-10,09.10.2025,190.117,190.117,190.117
ВФП Премиум Акции,2025-10-10,09.10.2025,197.0235,197.0235,197.0235
ВФП Кеш Депозит,2025-10-10,09.10.2025,122.3566,122.3566,122.3566
Граве Глобал,2025-10-10,09.10.2025,177.6523,177.6523,177.6523
КБ Инвест - Златен фонд,2025-10-10,09.10.2025,188.3414,188.3414,188.3414
Иново Статус Солар,2025-10-09,08.10.2025,67.2362,67.2362,67.2362
КБ Инвест - Акции,2025-10-09,08.10.2025,140.8994,140.8994,140.8994
КБ Инвест - Златен фонд,2025-10-09,08.10.2025,194.02,194.02,194.02
ВФП Дивиденда Акции,2025-10-09,08.10.2025,163.8879,163.8879,163.8879
Граве Флекс Бонд Евро,2025-10-09,08.10.2025,117.2443,117.2443,117.2443
Граве Глобал,2025-10-09,08.10.2025,177.4083,177.4083,177.4083
ВЕГА КЕШ,2025-10-09,08.10.2025,109.8119,109.8119,109.8119
ВЕГА ТЕХНОЛОГИЈА,2025-10-09,08.10.2025,199.5647,199.5647,199.5647
НЛБ Америка,2025-10-09,08.10.2025,185.9636,185.9636,185.9636
КБ Инвест - МБИ 10,2025-10-09,08.10.2025,435.9693,435.9693,435.9693
ВФП Премиум Акции,2025-10-09,08.10.2025,197.5154,197.5154,197.5154
ВЕГА СВЕТ,2025-10-09,08.10.2025,117.6321,117.6321,117.6321
НЛБ Обврзници,2025-10-09,08.10.2025,104.0715,104.0715,104.0715
КБ Инвест - Обврзници,2025-10-09,08.10.2025,157.5535,157.5535,157.5535
ВФП БОНД,2025-10-09,08.10.2025,129.8089,129.8089,129.8089
НЛБ БРИК,2025-10-09,08.10.2025,170.8326,170.8326,170.8326
ВФП Етикс Акции,2025-10-09,08.10.2025,104.2112,104.2112,104.2112
КБ Инвест - Балансиран,2025-10-09,08.10.2025,247.7599,247.7599,247.7599
НЛБ Топ Брендови,2025-10-09,08.10.2025,189.9047,189.9047,189.9047
КБ Инвест Паричен,2025-10-09,08.10.2025,143.1882,143.1882,143.1882
ВЕГА ФИНАНСИИ,2025-10-09,08.10.2025,170.0926,170.0926,170.0926
Иново Статус Балансиран,2025-10-09,08.10.2025,45.1456,45.1456,45.1456
ВФП Кеш Депозит,2025-10-09,08.10.2025,122.3484,122.3484,122.3484
НЛБ Кеш Депозит,2025-10-09,08.10.2025,134.2306,134.2306,134.2306
НЛБ БРИК,2025-10-08,07.10.2025,171.1475,171.1475,171.1475
Граве Глобал,2025-10-08,07.10.2025,175.954,175.954,175.954
КБ Инвест - Обврзници,2025-10-08,07.10.2025,157.4693,157.4693,157.4693
КБ Инвест - МБИ 10,2025-10-08,07.10.2025,435.8616,435.8616,435.8616
Иново Статус Балансиран,2025-10-08,07.10.2025,45.1582,45.1582,45.1582
ВФП Кеш Депозит,2025-10-08,07.10.2025,122.3406,122.3406,122.3406
ВФП Премиум Акции,2025-10-08,07.10.2025,196.3801,196.3801,196.3801
КБ Инвест Паричен,2025-10-08,07.10.2025,143.1793,143.1793,143.1793
НЛБ Кеш Депозит,2025-10-08,07.10.2025,134.2231,134.2231,134.2231
КБ Инвест - Акции,2025-10-08,07.10.2025,140.6782,140.6782,140.6782
НЛБ Топ Брендови,2025-10-08,07.10.2025,188.9895,188.9895,188.9895
ВФП Дивиденда Акции,2025-10-08,07.10.2025,162.5799,162.5799,162.5799
КБ Инвест - Златен фонд,2025-10-08,07.10.2025,190.4502,190.4502,190.4502
Граве Флекс Бонд Евро,2025-10-08,07.10.2025,117.2651,117.2651,117.2651
ВФП БОНД,2025-10-08,07.10.2025,129.7343,129.7343,129.7343
КБ Инвест - Балансиран,2025-10-08,07.10.2025,247.537,247.537,247.537
ВЕГА СВЕТ,2025-10-08,07.10.2025,116.1168,116.1168,116.1168
НЛБ Обврзници,2025-10-08,07.10.2025,104.053,104.053,104.053
ВФП Етикс Акции,2025-10-08,07.10.2025,103.2409,103.2409,103.2409
Иново Статус Солар,2025-10-08,07.10.2025,66.9099,66.9099,66.9099
ВЕГА КЕШ,2025-10-08,07.10.2025,109.8039,109.8039,109.8039
ВЕГА ТЕХНОЛОГИЈА,2025-10-08,07.10.2025,194.0786,194.0786,194.0786
ВЕГА ФИНАНСИИ,2025-10-08,07.10.2025,169.5417,169.5417,169.5417
НЛБ Америка,2025-10-08,07.10.2025,184.7906,184.7906,184.7906
ВЕГА ТЕХНОЛОГИЈА,2025-10-07,06.10.2025,194.479,194.479,194.479
ВФП Премиум Акции,2025-10-07,06.10.2025,196.4108,196.4108,196.4108
